There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-1513,Play,Southern Africa,Tumbuka,tumb1250,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tumb1250,Nkawa na dada,NA,The song is identified as such in its title or label,"Folk Music ; Singing games ; Sticks ; Vocal //ILAM IDENTIFIER HTFT179-D36-D2E5, KEYWORDS//","Further details refer ILAM field card number: D2E5 //ILAM IDENTIFIER HTFT179-D36-D2E5, DESCRIPTION//",1,,AMB,CMB
NHS2-1515a,Play,Southern Africa,Venda,vend1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/vend1245,Tshikhakhiso Romane,NA,The song is identified as such in its title or label,"Children’s play-songs (dzhombo). //CREM CODE CNRSMH_E_1976_018_001_12, TITLE//","a) Tshikhakhiso Romane, sung by girls at Thengwe, led by Tshikale Munaka, in 1958. (1:15) b) Phetha-tshigele, sung by the same group as a. A version of this is sung at the vhusha initiation school. See HM, Ex. 8, p. 40. (0:20) //CREM CODE CNRSMH_E_1976_018_001_12, ETHNOGRAPHIC CONTEXT//",1,,AMB,JSL
NHS2-1515b,Play,Southern Africa,Venda,vend1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/vend1245,Phetha-tshigele,NA,The song is identified as such in its title or label,"Children’s play-songs (dzhombo). //CREM CODE CNRSMH_E_1976_018_001_12, TITLE//","a) Tshikhakhiso Romane, sung by girls at Thengwe, led by Tshikale Munaka, in 1958. (1:15) b) Phetha-tshigele, sung by the same group as a. A version of this is sung at the vhusha initiation school. See HM, Ex. 8, p. 40. (0:20) //CREM CODE CNRSMH_E_1976_018_001_12, ETHNOGRAPHIC CONTEXT//",1,,AMB,JSL
NHS2-1439,Praise,Southern Africa,Ambilube,anta1255,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/anta1255,Song of Homage to the King,NA,The song is identified as such in its title or label,"Praise song //GLOBAL JUKEBOX CODING ID 9133, GENRE FIELD//","Song of praise similar in form, style, and rhythm to other praise songs common on the western coast of Africa //GLOBAL JUKEBOX CODING ID 9133, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1450,Praise,Southern Africa,Herero,here1253,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/here1253,Wa kawiri wambunga,NA,The song is identified as such in its title or label,"Praise song ; Indigenous Music ; Folk //ILAM IDENTIFIER TR217-16, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1500,Praise,Southern Africa,Sotho,sout2807,Yes,VYM,Yes,Yes,Definitely problematic,Not problematic,Not problematic,preparation song for circumcision (procession song?),https://glottolog.org/resource/languoid/id/sout2807,Lelingoana,NA,The song is identified as such in its title or label,"Circumcision song; praise song; chant; preparatory song //GLOBAL JUKEBOX CODING ID 280, GENRE FIELD//","Praise chant with speeches; preparation song for circumcision; recorded at the Headquarters of Chief Moshesh //GLOBAL JUKEBOX CODING ID 280, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1501,Praise,Southern Africa,Sotho,sout2807,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout2807,Lithoko Tsa Morena Neo Sibi,NA,The song is identified as such in its title or label,"Praise song; song about leadership; chief's song //GLOBAL JUKEBOX CODING ID 2267, GENRE FIELD//","Praises for Chief Neo Sibi; recorded at Hebron School, Chief Sibi's Location //GLOBAL JUKEBOX CODING ID 2267, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1511,Praise,Southern Africa,Bahurutse,tswa1253,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tswa1253,"“Tribal Songs of Batswana: ""When They Are Playing Their Whistles, Praise (Ululate) Them""”",Track 4,The song is identified as such in its title or label,"“Tribal Songs of Batswana: ""When They Are Playing Their Whistles, Praise (Ululate) Them""” //TRADITIONAL MUSIC OF BOTSWANA TRACK LISTING//",NA,1,,AMB,LGY
NHS2-1512,Praise,Southern Africa,Tswana,tswa1253,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tswa1253,Kongwana tshweu wee,NA,The song is identified as such in its title or label,"Praise song ; Folk //ILAM IDENTIFIER TR114-01, KEYWORDS//","Translated English title - ""Oh, the white cow!"". Further details refer to ILAM field card number: N1K - 6. //ILAM IDENTIFIER TR114-01, DESCRIPTION//",1,,AMB,LGY
NHS2-1525,Praise,Southern Africa,Pondo,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,global jukebox says Pondo (pond1249),https://glottolog.org/resource/languoid/id/xhos1239,Lamnandi Ugolohlanq,NA,The song is identified as such in its title or label,"Praise song //GLOBAL JUKEBOX CODING ID 276, GENRE FIELD//","Praise song; That Has Fetched This Person; composed by Nomaswiti Citaumvano; recorded at Miss Carter's store //GLOBAL JUKEBOX CODING ID 276, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1526,Praise,Southern Africa,Xhosa,xhos1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Izibongo Zika Ndlunkulu,NA,The song is identified as such in its title or label,"Praise song; chant //GLOBAL JUKEBOX CODING ID 2096, GENRE FIELD//","Praise song and chant; Praises of the Chief's Wife //GLOBAL JUKEBOX CODING ID 2096, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1527,Praise,Southern Africa,Xhosa,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Somagwaza,NA,The song is identified as such in its title or label,"Praise song; chief's song; song about leadership //GLOBAL JUKEBOX CODING ID 2097, GENRE FIELD//","Praise song thanking the Chief for having killed a beast; Father of the Stabbing; Mpondo mixed group //GLOBAL JUKEBOX CODING ID 2097, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1442,Procession,Southern Africa,Bara,bara1369,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bara1369,Fandikara,NA,The song is identified as such in its title or label,"Funeral song //GLOBAL JUKEBOX CODING ID 3300, GENRE FIELD//","Funeral songs; two songs; song 2 is in 2 parts //GLOBAL JUKEBOX CODING ID 3300, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1473,Procession,Southern Africa,Ndebele,nort2795,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nort2795,Zizwe,NA,The song is identified as such in its title or label,"Folk Music ; Wedding song ; Clapping ; Vocal ; Unaccompanied //ILAM IDENTIFIER HTFT140-C156-C6M17, KEYWORDS//","Wedding song accompanied by clapping ; For further details refer to ILAM field card: C6M16 //ILAM IDENTIFIER HTFT140-C156-C6M17, DESCRIPTION//",1,,AMB,CMB
NHS2-1481,Procession,Southern Africa,Nyanja,nyan1308,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nyan1308,Njinga yalowa,NA,The song is identified as such in its title or label,"Funeral song ; Tins used as drums //ILAM IDENTIFIER TR093-10, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1490,Procession,Southern Africa,Sakalava,saka1291,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/saka1291,Beko Tromba From Diego Suarez,NA,The song is identified as such in its title or label,"Processional music; fisherman's song //GLOBAL JUKEBOX CODING ID 2102, GENRE FIELD//","Vezo (group of Sakalave fishermen) procession music //GLOBAL JUKEBOX CODING ID 2102, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1491,Procession,Southern Africa,Sakalava,saka1291,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/saka1291,Gigalato,NA,The song is identified as such in its title or label,"Funeral song; dance song; dirge; prison song //GLOBAL JUKEBOX CODING ID 2175, GENRE FIELD//","Funeral dirge; dance song; sung while transporting the corpse //GLOBAL JUKEBOX CODING ID 2175, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1492,Procession,Southern Africa,Sakalava,saka1291,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/saka1291,Kadidoke,NA,The song is identified as such in its title or label,"Funeral song //GLOBAL JUKEBOX CODING ID 2110, GENRE FIELD//","To Stamp the Feet; funeral song; sung by a troupe of students working their way through school //GLOBAL JUKEBOX CODING ID 2110, DESCRPIPTION FIELD//",1,,AMB,CMB
NHS2-1502,Procession,Southern Africa,Sotho,sout2807,Yes,VYM,No,Yes,Maybe problematic,Not problematic,Not problematic,"could not find genre, but performed by Bantu Dramatic Society which is a group in Johannesburg dedicated to performing ""African dramatic and operatic art"" (might be professional)",https://glottolog.org/resource/languoid/id/sout2807,Ke Letele Njoany,NA,The song is identified as such in its title or label,"Indigenous music ; Wedding song ; Clapping //ILAM IDENTIFIER TP0399-ABC11278, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1528,Procession,Southern Africa,Xhosa,xhos1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Intsimbi Ka Ntsikana,NA,The song is identified as such in its title or label,"Wedding song; religious song; chant; song for community gathering //GLOBAL JUKEBOX CODING ID 274, GENRE FIELD//","Religious descriptive chant; originally a wedding song; Ntsikan's Bells and Song; used to gather people for worship at a hut; Zwelitsha Choir //GLOBAL JUKEBOX CODING ID 274, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1529,Procession,Southern Africa,Xhosa,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Uxam Ugexile Usind'indlu Ngodaka,NA,The song is identified as such in its title or label,"Wedding Song //GLOBAL JUKEBOX CODING ID 2093, GENRE FIELD//","Wedding song; The Iguana Is Very Silly; Zwelitsha Choral Society //GLOBAL JUKEBOX CODING ID 2093, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1538,Procession,Southern Africa,Zulu,zulu1248,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Amapoyisa Ahlal' Esangweni,NA,The song is identified as such in its title or label,Wedding song //GLOBAL JUKEBOX//,The Police at the Gate; wedding song with sticks; Zwelitsha was created in 1947 as corridor township to King William's Town to provide factory labor //GLOBAL JUKEBOX//,1,,AMB,CMB
NHS2-1539,Procession,Southern Africa,Zulu,zulu1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Useguggil' Ubaba,NA,The song is identified as such in its title or label,"Wedding song; chief's song //GLOBAL JUKEBOX CODING ID 2285, GENRE FIELD//","Father Is Completely Old; Isekle wedding song //GLOBAL JUKEBOX CODING ID 2285, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1462,Story,Southern Africa,Mikea,masi1268,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/masi1268,Iha lahy misera,NA,The song is identified as such in its title or label,"Entertainment song; narrative song //GLOBAL JUKEBOX CODING ID 30088, GENRE FIELD//","A song for for entertainment in two parts; the first half is uses interlocking phrases; the second uses silence when telling a story about a man who is limping //GLOBAL JUKEBOX CODING ID 30088, DESCRIPTION FIELD//",1,,AMB,JSL
NHS2-1470,Story,Southern Africa,Ndau,ndau1241,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/ndau1241,Pfeni Nengoma,NA,The song is identified as such in its title or label,"Story song //GLOBAL JUKEBOX CODING ID 2584, GENRE FIELD//","Story-song about the baboon who kept jumping on and off a drum till he died //GLOBAL JUKEBOX CODING ID 2584, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1486,Story,Southern Africa,Betsileo,plat1254,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,A Song for the Bulls,NA,The song is identified as such in its title or label,"Riza; narrative song; animal song // GLOBAL JUKEBOX CODING ID 3662, GENRE FIELD//","Narrative song; Riza; quick paced and lively, recorded at the Ambalavao Village fair // GLOBAL JUKEBOX CODING ID 3662, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1487,Story,Southern Africa,Betsileo,plat1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,Betsileo Riza,NA,The song is identified as such in its title or label,"Riza; narrative song //GLOBAL JUKEBOX CODING ID 3667, GENRE FIELD//","Riza narrative song //GLOBAL JUKEBOX CODING ID 3667, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1488,Story,Southern Africa,Merina,plat1254,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,Beanandro,NA,The song is identified as such in its title or label,"Narrative song; morality song //GLOBAL JUKEBOX CODING ID 2112, GENRE FIELD//","Narrative morality song //GLOBAL JUKEBOX CODING ID 2112, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1493,Story,Southern Africa,Sakalava,saka1291,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/saka1291,Malaimkirafy,NA,The song is identified as such in its title or label,"Story song //GLOBAL JUKEBOX CODING ID 2099, GENRE FIELD//","I Don't Want To Be Polygamous; story song of a women who does not want to marry a man who already has a wife //GLOBAL JUKEBOX CODING ID 2099, DESCRIPTION IELD//",1,,AMB,CMB
NHS2-1495,Story,Southern Africa,Karanga,shon1251,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shon1251,Ndera Wandera,NA,The song is identified as such in its title or label,"Story song //GLOBAL JUKEBOX CODING ID 2683, GENRE FIELD//",NA,1,,AMB,CMB
NHS2-1496,Story,Southern Africa,Karanga,shon1251,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shon1251,Pi Mcinanga,NA,The song is identified as such in its title or label,"Story song //GLOBAL JUKEBOX CODING ID 9487, GENRE FIELD//","A manyika story song; recorded at Teachers Training College //GLOBAL JUKEBOX CODING ID 9487, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1514,Story,Southern Africa,Tumbuka,tumb1250,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tumb1250,Munthu wakakora njoka,NA,The song is identified as such in its title or label,"Story song //ILAM IDENTIFIER ACO716-DY13, KEYWORDS//","Story song with Tumbuku men ; For further details refer to ILAM field card: DY13 //ILAM IDENTIFIER ACO716-DY13, DESCRIPTION//",1,,AMB,CMB
NHS2-1516,Story,Southern Africa,Venda,vend1245,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/vend1245,Story-songs for children (ngano),NA,The song is identified as such in its title or label,"Story-songs for children (ngano) //CREM CODE CNRSMH_E_1976_018_001_11, ETHNOGRAPHIC CONTEXT//","a) The story of a man and his wife and the fruit tree, told by Munzhedzi Mmbi of Gaba in 1958, accompanied by children and friends. (2:10) b) Tshinoni tsha Musenzhe (“The bird of Musenzhe”), a song from a story, sung by Munzhedzi Mmbi of Gaba and companions in 1958. (0:40) c) The song from a story about a girl who changed into a bird and warned a man not to eat, sung by Tshikale Munaka with girls from Thengwe in 1958. (0:20) //CREM CODE CNRSMH_E_1976_018_001_11, ETHNOGRAPHIC CONTEXT//",1,,AMB,JSL
NHS2-1448,Work,Southern Africa,Chopi,chop1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chop1243,"Ho, Nitihondile",NA,The song is identified as such in its title or label,"Work song //GLOBAL JUKEBOX CODING ID 1688, GENRE FIELD//","Pounding song with mortar and pestles of Canda's village Work song //GLOBAL JUKEBOX CODING ID 1688, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1463,Work,Southern Africa,Mikea,masi1268,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/masi1268,Koiky,NA,The song is identified as such in its title or label,"Yodel; calls; cries; forest song; work song //GLOBAL JUKEBOX CODING ID 30085, GENRE FIELD//","Yodeled calls; when a group gathers to work or communicate, women in different parts of the forest call out to one another through yodels and cries for location or assistance //GLOBAL JUKEBOX CODING ID 30085, DESCRIPTION FIELD//",1,,AMB,JSL
NHS2-1475,Work,Southern Africa,Nsenga,nsen1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nsen1242,A nyece nanyina Mambo ; The chief wife is Mambo's mother,NA,The song is identified as such in its title or label,"Indigenous music ; Folk music ; Pounding song ; Work song //ILAM IDENTIFIER AC0547-C4V16, KEYWORDS//","English translation of title: 'The chief wife is Mambo's mother' ; Pounding song, two women pounding in mortar ; For further details refer to ILAM field card: C4V16 //ILAM IDENTIFIER AC0547-C4V1, DESCRIPTION//",1,,AMB,CMB
NHS2-1497,Work,Southern Africa,Karanga,shon1251,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shon1251,Zuwa Woye,NA,The song is identified as such in its title or label,"Threshing song; work song; agricultural song; ullulations //GLOBAL JUKEBOX CODING ID 2678, GENRE FIELD//","Threshing song; Manyika highlanders beat on the floor in imitation of the sound of threshing; recorded at St. Augustine Mission //GLOBAL JUKEBOX CODING ID 2678, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1498,Work,Southern Africa,Karanga,shon1251,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shon1251,Mai Tswapiguruwe,NA,The song is identified as such in its title or label,"Work song //GLOBAL JUKEBOX CODING ID 2684, GENRE FIELD//","The New Thing; drilling song performed by boys attending Domboshawa School //GLOBAL JUKEBOX CODING ID 2684, DESCRIPTION FIELD//",1,,AMB,CMB
